PLAYER	2020/21 	2020/21(*)
557.	Isaiah Thomas	$159,698	$168,308
558.	John Henson	$158,907	$167,474
559.	Armoni Brooks	$135,362	$142,659
560.	Jordan Bone	$135,350	$142,647
561.	Jaylen Hoard	$129,209	$136,175
562.	Justin Anderson	$125,000	$131,739
563.	Didi Louzada	$123,056	$129,690
563.	Amida Brimah	$123,056	$129,690
565.	Troy Williams	$122,741	$129,358
566.	James Nunnally	$107,674	$113,479
567.	Demetrius Jackson	$92,857	$97,863
568.	Dakota Mathias	$86,132	$90,775
569.	Malik Fitts	$61,528	$64,845
570.	Jeremiah Martin	$58,452	$61,603
571.	Jerian Grant	$50,000	$52,695
572.	Louis King	$49,222	$51,875
573.	Cameron Oliver	$43,070	$45,392
574.	Cam Reynolds	$33,299	$35,094
575.	Andrew White	$25,000	$26,347
575.	Tyler Hall	$25,000	$26,347
577.	Elijah Bryant	$24,611	$25,937
578.	Caleb Homesley	$20,000	$21,078
